Blog Title,Brief Writeup,URL of Main Blog
I had stories to tell,"It was 1 am. I pleaded him to stay for a little longer. I wanted to tell him stories.
It got colder as the night passed. My emotions were pouring out with the darkness falling upon us.",/blog/I-had-stories-to-tell.html
Facebook,"Just a bunch of people posting pictures from their life, showing less known people they’ve met once or twice about their awesome fake life.Impressing people, is all fb buddies wanna do. ",/blog/facebook.html
One Liners,"She had her entrance exam for medicine the next day. She woke up in the middle of the night in tension, as she wrote down her start up idea. They had lost their friendship in the process of love..

She was drowning at night, he saved her and took her in his boat.",/blog/one-liners.html
Types of people at the mall in summer,1. The ones who come to eat at the food court. They do not even look at the shops. ,/blog/Types-of-people-at-the-mall-in-summer.html
The Trip,"I wore my red lipstick, set my hair and put on my favourite hoop earrings. I looked in the mirror for the last time before leaving to the airport. On hearing the announcement of my flight..",/blog/The-Trip.html
The Surprise,"She had her entrance exam for medicine the next day. She woke up in the middle of the night in tension, as she wrote down her start up idea. They had lost their friendship in the process of love..",/blog/the-surprise.html
Casket Robber,"My father worked at a casket shop down the street. He made a very small amount of money that would only suffice our basic needs. In order to make enough money and send me to school, he started..",/blog/Casket-robber.html
Types of people reacting to famous personalities,1. I used to follow her before she became famous. 2. I know her. She is my neighbour’s friend’s sister. 3. She is nice.,/blog/Types-of-people-reacting-to-famous-personalities.html
Relatives,Random relatives walk in and give you advices on career. Beta ias ban jao. Ham sab ko bolenge ki hamari bachi ias hai. Doctor ban jao. Hamari ilaj kardena budhaape mein. Lawyer ban jao beta.,/blog/Relatives.html
An addiction of forgetting,"So hooked to phones, that we stopped remembering details. Grandma never forgets birthdays. We write down everything on phones. Even if tuition times are changed and is told in class, you prefer",/blog/An-addiction.html
Solitude- A Peaceful State,Do you ever just feel that you need solitude? Not everyone who is alone is lonely. The thing about solitude is that it calms your mind and a load of ideas gush in. Raw ideas that you need time,/blog/solitude-a-peaceful-state.html
The Dentist,"This is why I like observing people. The other, I had gone to the dentist. There was this girl, who was acting pretty strange around. She was restless and kept looking for ways to enter the main room. ",/blog/the-dentist.html
Every grey cloud has a silver lining,"On the darkest days of your life, sunshine still shines. It’s just about letting it in.",/blog/Every-grey-cloud has-a-silver-lining.html
